ts_down,ts_up,dwell_ms,flight_ms,code,prev_code,key
1762236899621.53,1762236899807.772,186.254,-84.95,Char.k,Char.r,k
1762236899717.938,1762236899858.432,140.49,-89.83,Key.space,Char.k,
1762236899913.954,1762236900045.048,131.091,55.528,Char.r,Key.space,r
1762236900033.859,1762236900211.263,177.398,-11.186,Char.l,Char.r,l
1762236900079.81,1762236900220.963,141.148,-131.448,Char.a,Char.l,a
1762236900336.565,1762236900557.979,221.412,115.607,Char.q,Char.a,q
1762236900618.243,1762236900759.176,140.93,60.267,Char.h,Char.q,h
1762236900718.824,1762236900859.66,140.834,-40.35,Char.d,Char.h,d
1762236900834.641,1762236900980.691,146.046,-25.016,Char.r,Char.d,r
1762236900950.616,1762236901091.431,140.813,-30.071,Char.u,Char.r,u
1762236901101.506,1762236901233.539,132.027,10.077,Char.d,Char.u,d
1762236901298.507,1762236901414.813,116.304,64.973,Char.r,Char.d,r
1762236901399.252,1762236901534.412,135.158,-15.559,Char.k,Char.r,k
1762236901515.74,1762236901641.377,125.633,-18.67,Char.x,Char.k,x
1762236901696.26,1762236901852.436,156.171,54.887,Char.s,Char.x,s
1762236901761.497,1762236901878.68,117.181,-90.934,Char.k,Char.s,k
1762236901868.077,1762236902012.978,144.899,-10.601,Char.d,Char.k,d
1762236901983.472,1762236902083.449,99.975,-29.504,Char.y,Char.d,y
1762236902462.253,1762236902586.853,124.597,378.806,Char.?,Char.y,?
1762236902325.154,1762236902697.804,372.647,-261.697,Key.shift_r,Char.?,
1762236903644.397,1762236905003.608,1359.21,946.596,Key.backspace,Key.shift_r,
1762236906454.603,1762236906535.144,80.539,1450.996,Char.n,Key.backspace,n
1762236906384.287,1762236906544.511,160.222,-150.855,Char.d,Char.n,d
1762236906620.192,1762236906711.131,90.936,75.683,Char.j,Char.d,j
1762236906630.652,1762236906766.179,135.524,-80.475,Char.s,Char.j,s
1762236906756.407,1762236906882.498,126.088,-9.77,Char.r,Char.s,r
1762236906847.042,1762236906982.715,135.671,-35.454,Char.u,Char.r,u
1762236906922.437,1762236907033.244,110.805,-60.275,Char.r,Char.u,r
1762236907063.729,1762236907204.404,140.673,30.487,Char.d,Char.r,d
1762236907129.328,1762236907254.261,124.931,-75.074,Char.m,Char.d,m
1762236907239.92,1762236907385.73,145.808,-14.339,Char.s,Char.m,s
1762236907330.789,1762236907466.24,135.447,-54.94,Key.space,Char.s,
1762236907436.111,1762236907587.283,151.168,-30.125,Char.d,Key.space,d
1762236907541.865,1762236907642.37,100.501,-45.414,Char.k,Char.d,k
1762236907608.515,1762236907763.646,155.128,-33.852,Char.a,Char.k,a
1762236907723.486,1762236907904.207,180.719,-40.158,Char.k,Char.a,k
1762236907824.367,1762236907964.664,140.294,-79.838,Key.space,Char.k,
